row,error
0,'ProductEmbedding' object has no attribute 'price'
1,'ProductEmbedding' object has no attribute 'price'
2,'ProductEmbedding' object has no attribute 'price'
3,'ProductEmbedding' object has no attribute 'price'
4,'ProductEmbedding' object has no attribute 'price'
5,'ProductEmbedding' object has no attribute 'price'
6,'ProductEmbedding' object has no attribute 'price'
7,'ProductEmbedding' object has no attribute 'price'
8,'ProductEmbedding' object has no attribute 'price'
9,'ProductEmbedding' object has no attribute 'price'
